(0, 0, 0, 0, 0, 0, 0, 0, 0, 0) 
(1, 0, 0, 0, 0, 0, 1, 0, 0, 0) 
(2, 0, 0, 1, 0, 0, 1, 0, 0, 0) 
(3, 0, 0, 1, 0, 0, 0, 1, 0, 0) 
(4, 0, 0, 0, 0, 0, 0, 1, 0, 1) 
(5, 0, 1, 0, 1, 0, 0, 0, 0, 1) 
(6, 1, 1, 0, 1, 0, 0, 0, 0, 0) 
(7, 1, 0, 0, 0, 0, 1, 0, 0, 0) 
(8, 0, 1, 0, 0, 0, 1, 0, 0, 0) 
(9, 0, 1, 0, 0, 2, 0, 0, 0, 0) 
(10, 0, 0, 0, 1, 2, 0, 0, 0, 0) 
(11, 0, 0, 0, 1, 0, 0, 0, 0, 1) 
(12, 1, 0, 0, 0, 0, 0, 0, 0, 1) 
(13, 1, 0, 0, 0, 0, 0, 0, 2, 0) 
(14, 0, 0, 0, 0, 1, 0, 0, 2, 0) 
(15, 0, 0, 0, 1, 1, 1, 0, 0, 0) 
(16, 0, 0, 0, 1, 0, 1, 0, 1, 0) 
(17, 0, 0, 0, 1, 0, 1, 0, 2, 0) 
(18, 0, 0, 1, 1, 0, 1, 0, 1, 0) 
(19, 1, 0, 1, 0, 0, 1, 0, 0, 0) 
(20, 3, 1, 0, 0, 0, 1, 0, 0, 0) 
(21, 2, 1, 0, 0, 0, 2, 0, 0, 0) 
(22, 1, 2, 1, 0, 0, 3, 0, 0, 0) 
(23, 1, 2, 1, 0, 2, 2, 0, 0, 0) 
(24, 2, 3, 0, 1, 3, 2, 0, 0, 0) 
(25, 2, 4, 0, 1, 2, 2, 0, 0, 1) 
(26, 1, 3, 0, 1, 2, 3, 0, 0, 2) 
(27, 0, 1, 0, 0, 0, 1, 0, 1, 0) 
(28, 0, 1, 1, 0, 0, 0, 0, 2, 0) 
(29, 0, 1, 1, 1, 0, 0, 0, 1, 0) 
(30, 0, 1, 0, 1, 0, 0, 0, 2, 0) 
(31, 0, 0, 0, 1, 0, 1, 0, 3, 0) 
(32, 0, 0, 0, 1, 0, 1, 0, 2, 1) 
(33, 0, 0, 1, 1, 0, 1, 0, 2, 2) 
(34, 1, 0, 2, 1, 0, 2, 0, 2, 1) 
(35, 1, 0, 1, 2, 0, 1, 0, 2, 1) 
(36, 1, 0, 0, 2, 0, 0, 0, 4, 1) 
(37, 2, 0, 0, 1, 0, 1, 0, 4, 1) 
(38, 2, 1, 0, 1, 1, 1, 0, 4, 1) 
(39, 3, 1, 0, 1, 1, 1, 0, 4, 1) 
(40, 4, 1, 0, 1, 1, 1, 0, 4, 1) 
(41, 5, 1, 0, 2, 1, 2, 0, 5, 2) 
(42, 4, 1, 1, 2, 2, 2, 1, 4, 3) 
(43, 4, 1, 2, 2, 2, 2, 1, 4, 2) 
(44, 4, 1, 2, 2, 2, 2, 0, 4, 2) 
(45, 4, 1, 1, 2, 3, 2, 0, 5, 2) 
(46, 5, 2, 1, 2, 4, 2, 0, 5, 2) 
(47, 5, 2, 2, 2, 3, 2, 0, 4, 3) 
(48, 5, 2, 3, 2, 2, 2, 0, 4, 3) 
(49, 5, 4, 3, 3, 2, 4, 1, 4, 2) 
(50, 5, 4, 2, 3, 2, 4, 1, 6, 2) 
(51, 5, 4, 2, 3, 2, 3, 0, 6, 2) 
(52, 7, 4, 2, 3, 2, 3, 0, 5, 2) 
(53, 7, 3, 3, 3, 2, 4, 0, 6, 2) 
(54, 6, 3, 3, 3, 3, 4, 0, 6, 3) 
(55, 7, 3, 2, 3, 3, 4, 0, 6, 3) 
(56, 8, 3, 2, 3, 3, 5, 0, 7, 3) 
(57, 7, 3, 2, 3, 4, 5, 1, 7, 4) 
(58, 6, 3, 4, 3, 5, 6, 1, 6, 4) 
(59, 6, 3, 4, 4, 4, 6, 0, 6, 4) 
(60, 6, 3, 3, 4, 5, 6, 0, 6, 4) 
(61, 6, 4, 3, 3, 6, 6, 0, 6, 5) 
(62, 6, 4, 4, 4, 5, 7, 0, 6, 5) 
(63, 6, 3, 5, 4, 5, 8, 0, 6, 4) 
(64, 6, 3, 6, 4, 6, 8, 0, 6, 4) 
(65, 7, 4, 7, 5, 6, 9, 0, 6, 4) 
(66, 5, 1, 3, 3, 3, 5, 0, 2, 2) 
(67, 6, 1, 2, 2, 3, 5, 0, 3, 2) 
(68, 5, 1, 2, 1, 3, 2, 0, 3, 2) 
(69, 5, 0, 3, 1, 1, 0, 0, 2, 1) 
(70, 4, 0, 2, 1, 1, 0, 0, 3, 1) 
(71, 3, 0, 2, 1, 1, 0, 1, 3, 2) 
(72, 3, 0, 2, 1, 1, 1, 1, 3, 2) 
(73, 3, 0, 1, 2, 1, 1, 2, 2, 2) 
(74, 2, 0, 1, 1, 1, 0, 3, 2, 3) 
(75, 2, 0, 1, 1, 1, 0, 2, 2, 3) 
(76, 2, 1, 1, 1, 2, 0, 2, 3, 4) 
(77, 2, 2, 1, 1, 1, 0, 2, 3, 4) 
(78, 2, 2, 2, 2, 1, 0, 2, 2, 3) 
(79, 3, 1, 2, 2, 1, 0, 3, 2, 3) 
(80, 4, 2, 1, 3, 2, 0, 3, 2, 3) 
(81, 5, 2, 1, 3, 2, 0, 4, 5, 4) 
(82, 5, 5, 1, 3, 2, 1, 4, 7, 4) 
(83, 5, 7, 1, 3, 3, 1, 5, 7, 3) 
(84, 5, 5, 1, 6, 4, 1, 6, 6, 4) 
(85, 5, 7, 2, 7, 3, 1, 6, 6, 4) 
(86, 5, 8, 3, 6, 5, 1, 6, 6, 5) 
(87, 6, 9, 2, 5, 6, 2, 5, 6, 6) 
